,city,country,lat,lon,max_temp,humidity,wind_speed,date,cloudiness
292,lucapa,AO,-8.4192,20.7447,67.05,97,2.86,1612920755,100
293,oksfjord,NO,70.2396,22.3479,23.0,80,11.5,1612920755,90
294,arucas,ES,28.1198,-15.5233,61.0,77,1.14,1612920755,0
295,vila,PT,42.0304,-8.1588,45.0,95,11.99,1612920190,100
296,pokosnoye,RU,55.5258,101.0536,4.33,91,2.66,1612920755,100
297,lufilufi,WS,-13.8745,-171.5986,89.6,74,4.61,1612920755,75
298,namibe,AO,-15.1961,12.1522,70.95,77,2.37,1612920197,95
299,biak,ID,-0.9131,122.8766,82.92,68,1.07,1612920201,67
300,maningrida,AU,-12.0667,134.2667,87.98,63,8.61,1612920755,100
301,grand gaube,MU,-20.0064,57.6608,75.0,83,3.0,1612920214,21
302,salisbury,GB,51.0693,-1.7957,30.99,93,11.5,1612920033,75
303,carutapera,BR,-1.195,-46.02,79.38,81,5.77,1612920755,100
304,lofthus,NO,59.9468,10.8018,14.0,51,3.4,1612920755,14
305,saint-pierre,RE,-21.3393,55.4781,77.0,65,5.75,1612920710,0
306,kangavar,IR,34.5043,47.9653,41.58,62,1.16,1612920755,93
307,hazorasp,UZ,41.3194,61.0742,35.6,60,13.8,1612920603,0
308,iqaluit,CA,63.7506,-68.5145,1.4,78,0.54,1612919933,1
309,bathsheba,BB,13.2167,-59.5167,77.0,69,16.11,1612920790,40
310,shenjiamen,CN,29.9576,122.298,51.46,82,6.93,1612920756,100
311,siguiri,GN,11.6667,-9.5,72.73,22,1.95,1612920756,14
312,san cristobal,VE,7.7669,-72.225,67.55,89,1.19,1612920790,62
313,price,US,39.5994,-110.8107,42.8,49,10.36,1612920756,90
314,vila franca do campo,PT,37.7167,-25.4333,62.01,94,20.71,1612920208,75
315,ponta do sol,PT,32.6667,-17.1,57.0,69,1.99,1612920067,65
316,la fleche,FR,47.6982,-0.0755,34.0,100,5.75,1612920756,90
317,ignacio zaragoza,MX,28.3833,-107.2167,61.0,15,5.99,1612920756,1
318,boende,CD,-0.2167,20.8667,70.39,59,0.92,1612920756,99
319,paine,CL,-33.8167,-70.75,78.01,60,12.66,1612920756,0
320,rolla,US,37.9514,-91.7713,17.6,79,10.36,1612920505,90
321,salalah,OM,17.0151,54.0924,77.0,38,11.5,1612920723,0
322,yeppoon,AU,-23.1333,150.7333,84.2,42,11.5,1612920477,21
323,challakere,IN,14.3167,76.65,64.92,61,5.77,1612920756,0
324,pimenta bueno,BR,-11.6725,-61.1936,74.62,92,2.33,1612920757,100
325,ratnagiri,IN,16.9833,73.3,70.72,32,4.63,1612920551,0
326,jiwani,PK,25.05,61.7417,70.7,38,14.52,1612920757,94
327,ancud,CL,-41.8697,-73.8203,63.0,59,5.99,1612920216,0
328,rzhaksa,RU,52.1338,42.0264,5.18,95,7.25,1612920757,92
329,khorixas,NA,-20.3667,14.9667,68.92,80,2.95,1612920757,100
330,astoria,US,46.1879,-123.8313,42.8,61,4.61,1612920757,40
331,kieta,PG,-6.2167,155.6333,84.81,75,8.48,1612920757,40
